Arsenal,tied,Norwich,30/10/1993
Blackburn,beat,Tottenham,30/10/1993
Oldham,beat,Chelsea,30/10/1993
Everton,beat,Ipswich,30/10/1993
Liverpool,beat,Southampton,30/10/1993
Man United,beat,QPR,30/10/1993
Newcastle,beat,Wimbledon,30/10/1993
Sheffield Weds,tied,Leeds,30/10/1993
Aston Villa,beat,Swindon,30/10/1993
Coventry,tied,Sheffield United,31/10/1993
West Ham,beat,Man City,01/11/1993
Aston Villa,beat,Arsenal,06/11/1993
Coventry,beat,Everton,06/11/1993
Sheffield Weds,beat,Ipswich,06/11/1993
Leeds,beat,Chelsea,06/11/1993
Liverpool,beat,West Ham,06/11/1993
QPR,beat,Blackburn,06/11/1993
Norwich,beat,Sheffield United,06/11/1993
Southampton,beat,Tottenham,06/11/1993
Wimbledon,beat,Swindon,06/11/1993
Man United,beat,Man City,07/11/1993
Newcastle,beat,Oldham,08/11/1993
Aston Villa,beat,Sheffield United,20/11/1993
Blackburn,beat,Southampton,20/11/1993
Arsenal,beat,Chelsea,20/11/1993
QPR,beat,Everton,20/11/1993
Man United,beat,Wimbledon,20/11/1993
Norwich,tied,Man City,20/11/1993
Sheffield Weds,tied,Coventry,20/11/1993
Swindon,tied,Ipswich,20/11/1993
Tottenham,tied,Leeds,20/11/1993
West Ham,beat,Oldham,20/11/1993
Newcastle,beat,Liverpool,21/11/1993
Chelsea,tied,Man City,22/11/1993
Blackburn,beat,Coventry,23/11/1993
Everton,tied,Leeds,23/11/1993
Southampton,beat,Aston Villa,24/11/1993
Man United,tied,Ipswich,24/11/1993
Newcastle,beat,Sheffield United,24/11/1993
Sheffield Weds,beat,Oldham,24/11/1993
Swindon,beat,QPR,24/11/1993
Tottenham,tied,Wimbledon,24/11/1993
West Ham,tied,Arsenal,24/11/1993
Arsenal,beat,Newcastle,27/11/1993
Man United,beat,Coventry,27/11/1993
Ipswich,beat,Blackburn,27/11/1993
Leeds,beat,Swindon,27/11/1993
Sheffield Weds,beat,Man City,27/11/1993
Oldham,beat,Norwich,27/11/1993
QPR,tied,Tottenham,27/11/1993
Sheffield United,beat,Chelsea,27/11/1993
Wimbledon,tied,Everton,27/11/1993
Liverpool,beat,Aston Villa,28/11/1993
West Ham,beat,Southampton,29/11/1993
Coventry,beat,Arsenal,04/12/1993
Everton,beat,Southampton,04/12/1993
Ipswich,tied,Oldham,04/12/1993
Leeds,beat,Man City,04/12/1993
Man United,tied,Norwich,04/12/1993
QPR,tied,Aston Villa,04/12/1993
Sheffield Weds,beat,Liverpool,04/12/1993
Swindon,tied,Sheffield United,04/12/1993
Newcastle,beat,Tottenham,04/12/1993
West Ham,beat,Wimbledon,04/12/1993
Blackburn,beat,Chelsea,05/12/1993
Arsenal,tied,Tottenham,06/12/1993
Oldham,beat,Swindon,07/12/1993
Man United,beat,Sheffield United,07/12/1993
Aston Villa,tied,Sheffield Weds,08/12/1993
Liverpool,beat,QPR,08/12/1993
Man City,beat,Everton,08/12/1993
Ipswich,beat,Southampton,08/12/1993
Leeds,beat,West Ham,08/12/1993
Wimbledon,beat,Aston Villa,11/12/1993
Chelsea,tied,Ipswich,11/12/1993
Liverpool,tied,Swindon,11/12/1993
Tottenham,beat,Man City,11/12/1993
Newcastle,tied,Man United,11/12/1993
Blackburn,beat,Oldham,11/12/1993
Sheffield United,tied,Everton,11/12/1993
QPR,beat,Southampton,11/12/1993
West Ham,beat,Coventry,11/12/1993
Arsenal,beat,Sheffield Weds,12/12/1993
Norwich,beat,Leeds,13/12/1993
Blackburn,beat,Man City,18/12/1993
Coventry,tied,Oldham,18/12/1993
Newcastle,beat,Everton,18/12/1993
Ipswich,beat,Norwich,18/12/1993
Leeds,beat,Arsenal,18/12/1993
Sheffield Weds,beat,West Ham,18/12/1993
Swindon,beat,Southampton,18/12/1993
Tottenham,tied,Liverpool,18/12/1993
Wimbledon,beat,Sheffield United,18/12/1993
Man United,beat,Aston Villa,19/12/1993
Newcastle,tied,Leeds,22/12/1993
Man United,tied,Blackburn,26/12/1993
Sheffield United,tied,Liverpool,26/12/1993
Coventry,beat,Wimbledon,26/12/1993
Sheffield Weds,beat,Everton,27/12/1993
Ipswich,tied,West Ham,27/12/1993
QPR,beat,Oldham,27/12/1993
Southampton,beat,Chelsea,27/12/1993
Arsenal,beat,Swindon,27/12/1993
Norwich,beat,Tottenham,27/12/1993
Chelsea,beat,Newcastle,28/12/1993
Liverpool,tied,Wimbledon,28/12/1993
Man City,tied,Southampton,28/12/1993
Tottenham,beat,West Ham,28/12/1993
Arsenal,beat,Sheffield United,29/12/1993
Blackburn,beat,Everton,29/12/1993
Leeds,tied,QPR,29/12/1993
Aston Villa,beat,Norwich,29/12/1993
Man United,beat,Oldham,29/12/1993
Sheffield Weds,tied,Swindon,29/12/1993
Blackburn,beat,Aston Villa,01/01/1994
West Ham,beat,Everton,01/01/1994
Liverpool,beat,Ipswich,01/01/1994
Man United,tied,Leeds,01/01/1994
Newcastle,beat,Man City,01/01/1994
Sheffield Weds,beat,QPR,01/01/1994
Sheffield United,beat,Oldham,01/01/1994
Norwich,beat,Southampton,01/01/1994
Chelsea,beat,Swindon,01/01/1994
Coventry,beat,Tottenham,01/01/1994
Arsenal,beat,Wimbledon,01/01/1994
Arsenal,tied,QPR,03/01/1994
Chelsea,beat,Everton,03/01/1994
Coventry,tied,Swindon,03/01/1994
Sheffield Weds,beat,Tottenham,03/01/1994
West Ham,tied,Sheffield United,03/01/1994
Liverpool,tied,Man United,04/01/1994
Newcastle,beat,Norwich,04/01/1994
Aston Villa,beat,West Ham,15/01/1994
Everton,beat,Swindon,15/01/1994
Leeds,tied,Ipswich,15/01/1994
Man City,tied,Arsenal,15/01/1994
Norwich,tied,Chelsea,15/01/1994
Liverpool,beat,Oldham,15/01/1994
Blackburn,beat,Sheffield United,15/01/1994
Southampton,beat,Coventry,15/01/1994
Man United,beat,Tottenham,15/01/1994
Wimbledon,beat,Sheffield Weds,15/01/1994
Newcastle,beat,QPR,16/01/1994
Arsenal,tied,Oldham,22/01/1994
Chelsea,tied,Aston Villa,22/01/1994
QPR,beat,Coventry,22/01/1994
Ipswich,tied,Wimbledon,22/01/1994
Liverpool,beat,Man City,22/01/1994
Man United,beat,Everton,22/01/1994
Southampton,beat,Newcastle,22/01/1994
Sheffield Weds,beat,Sheffield United,22/01/1994
Swindon,beat,Tottenham,22/01/1994
Blackburn,beat,Leeds,23/01/1994
West Ham,tied,Norwich,24/01/1994
Coventry,beat,Ipswich,02/02/1994
Blackburn,beat,Wimbledon,05/02/1994
Everton,beat,Chelsea,05/02/1994
Man City,beat,Ipswich,05/02/1994
Norwich,tied,Liverpool,05/02/1994
Oldham,beat,Southampton,05/02/1994
Man United,beat,QPR,05/02/1994
Swindon,beat,Coventry,05/02/1994
Sheffield Weds,beat,Tottenham,05/02/1994
Aston Villa,beat,Leeds,06/02/1994
Aston Villa,beat,Swindon,12/02/1994
Everton,tied,Ipswich,12/02/1994
Man City,tied,West Ham,12/02/1994
Oldham,beat,Chelsea,12/02/1994
Sheffield United,tied,Coventry,12/02/1994
Blackburn,beat,Tottenham,12/02/1994
Wimbledon,beat,Newcastle,12/02/1994
Norwich,tied,Arsenal,13/02/1994
Southampton,beat,Liverpool,14/02/1994
Blackburn,beat,Newcastle,19/02/1994
Coventry,beat,Man City,19/02/1994
Everton,tied,Arsenal,19/02/1994
Leeds,beat,Liverpool,19/02/1994
Swindon,tied,Norwich,19/02/1994
Aston Villa,tied,Man City,22/02/1994
Norwich,tied,Blackburn,22/02/1994
Newcastle,beat,Coventry,23/02/1994
Arsenal,beat,Blackburn,26/02/1994
Ipswich,beat,Sheffield United,26/02/1994
Liverpool,beat,Coventry,26/02/1994
Man City,beat,Swindon,26/02/1994
Norwich,tied,Sheffield Weds,26/02/1994
Southampton,beat,Wimbledon,26/02/1994
West Ham,tied,Man United,26/02/1994
Chelsea,beat,Tottenham,27/02/1994
Oldham,tied,Leeds,28/02/1994
Tottenham,tied,Aston Villa,02/03/1994
Blackburn,beat,Liverpool,05/03/1994
Everton,beat,Oldham,05/03/1994
Arsenal,beat,Ipswich,05/03/1994
Leeds,tied,Southampton,05/03/1994
Chelsea,beat,Man United,05/03/1994
QPR,tied,Man City,05/03/1994
Newcastle,beat,Sheffield Weds,05/03/1994
Swindon,tied,West Ham,05/03/1994
Tottenham,tied,Sheffield United,05/03/1994
Wimbledon,beat,Norwich,05/03/1994
Aston Villa,beat,Coventry,06/03/1994
Ipswich,beat,Aston Villa,12/03/1994
Wimbledon,beat,Man City,12/03/1994
Newcastle,beat,Swindon,12/03/1994
QPR,beat,Norwich,12/03/1994
Southampton,tied,Sheffield Weds,12/03/1994
Liverpool,beat,Everton,13/03/1994
Sheffield United,tied,Leeds,13/03/1994
Chelsea,beat,Wimbledon,16/03/1994
Leeds,beat,Aston Villa,16/03/1994
Man United,beat,Sheffield Weds,16/03/1994
Sheffield United,tied,QPR,16/03/1994
Oldham,beat,Aston Villa,19/03/1994
Leeds,beat,Coventry,19/03/1994
Liverpool,beat,Chelsea,19/03/1994
Man City,tied,Sheffield United,19/03/1994
QPR,beat,Wimbledon,19/03/1994
Arsenal,beat,Southampton,19/03/1994
Swindon,tied,Man United,19/03/1994
Tottenham,tied,Ipswich,19/03/1994
Newcastle,beat,West Ham,19/03/1994
Blackburn,beat,Sheffield Weds,20/03/1994
Norwich,beat,Everton,21/03/1994
